date,gross,turnover_cost,borrow_cost,net
2023-04-07,-0.000548232234109647,0.0,8.287991666666665e-05,-0.0006311121507763136
2023-04-10,1.3693391559452999e-05,4.982575e-05,8.287991666666665e-05,-0.00011901227510721365
2023-04-11,0.0017160642859129457,4.9925850000000006e-05,8.310283333333332e-05,0.0015830356025796123
2023-04-12,0.00031916436422720854,0.0,8.310283333333332e-05,0.00023606153089387522
2023-04-13,0.00035547781802063396,0.0,8.310283333333332e-05,0.00027237498468730064
2023-04-14,-0.0012035114647987232,0.0,8.310283333333332e-05,-0.0012866142981320565
2023-04-17,-0.0012425158996371966,4.98753e-05,8.310283333333332e-05,-0.0013754940329705298
2023-04-18,-0.000551413874841125,4.992675e-05,8.316708333333333e-05,-0.0006845077081744583
2023-04-19,0.0005603737583826189,0.0,8.316708333333333e-05,0.0004772066750492856
2023-04-20,0.0012798425776211026,0.0,8.316708333333333e-05,0.0011966754942877693
2023-04-21,0.0005097427728293826,0.0,8.316708333333333e-05,0.0004265756894960493
2023-04-24,5.398225641962815e-05,4.9925850000000006e-05,8.316708333333333e-05,-7.911067691370518e-05
2023-04-25,0.0009285901915760552,4.9910599999999996e-05,8.308675e-05,0.0007955928415760553
2023-04-26,-0.0021651070622812807,0.0,8.308675e-05,-0.0022481938122812808
2023-04-27,0.0003780947589427187,0.0,8.308675e-05,0.0002950080089427187
2023-04-28,-0.0016708810389319288,0.0,8.308675e-05,-0.0017539677889319288
2023-05-01,0.0011002065506380428,4.992675e-05,8.308675e-05,0.0009671930506380427
2023-05-02,0.0014561053519994423,4.9920500000000004e-05,8.312833333333334e-05,0.001323056518666109
2023-05-09,0.0025156426199864947,0.0,8.312833333333334e-05,0.0024325142866531615
2023-05-10,-0.002234440707432814,0.0,8.312833333333334e-05,-0.002317569040766147
2023-05-11,0.0016952123594694357,0.0,8.312833333333334e-05,0.0016120840261361024
2023-05-12,-0.003062162830033019,4.9910599999999996e-05,8.312833333333334e-05,-0.0031952017633663523
2023-05-15,-0.0008299958541905249,4.983505e-05,8.30375e-05,-0.000962868404190525
2023-05-16,-0.003924368692976614,0.0,8.30375e-05,-0.004007406192976614
2023-05-17,-0.00010736281735139144,0.0,8.30375e-05,-0.00019040031735139144
2023-05-18,0.0027440773645182586,0.0,8.30375e-05,0.0026610398645182587
2023-05-19,0.00041783581221010394,4.9920500000000004e-05,8.30375e-05,0.0002848778122101039
2023-05-22,-0.000336676606654249,4.9903e-05,8.307516666666667e-05,-0.0004696547733209157
2023-05-23,-0.0006293960153978196,0.0,8.307516666666667e-05,-0.0007124711820644862
2023-05-24,0.003718248568789757,0.0,8.307516666666667e-05,0.0036351734021230903
2023-05-25,0.002193030739990455,0.0,8.307516666666667e-05,0.0021099555733237883
2023-05-26,0.0014383842059876785,4.983505e-05,8.307516666666667e-05,0.0013054739893210118
2023-05-29,-0.0007008602282924357,4.986135e-05,8.307391666666667e-05,-0.0008337954949591024
2023-05-30,-0.0024123692541441876,0.0,8.307391666666667e-05,-0.002495443170810854
2023-05-31,-0.004744034659200216,0.0,8.307391666666667e-05,-0.004827108575866883
2023-06-01,0.00016418925441287957,0.0,8.307391666666667e-05,8.11153377462129e-05
2023-06-02,0.00048758336717048795,4.9903e-05,8.307391666666667e-05,0.00035460645050382125
2023-06-05,-0.0002286043582559288,4.98658e-05,8.302191666666666e-05,-0.0003614920749225955
2023-06-06,0.0009154819185725064,0.0,8.302191666666666e-05,0.0008324600019058397
2023-06-07,0.0045864999357529464,0.0,8.302191666666666e-05,0.004503478019086279
2023-06-08,0.0037889310046984523,0.0,8.302191666666666e-05,0.0037059090880317857
2023-06-09,0.0013821641802318485,4.986135e-05,8.302191666666666e-05,0.001249280913565182
2023-06-12,-0.0022945523474942504,4.9882350000000005e-05,8.310183333333333e-05,-0.002427536530827584
2023-06-13,-0.0016055912874249306,0.0,8.310183333333333e-05,-0.0016886931207582639
2023-06-14,0.002466700912538425,0.0,8.310183333333333e-05,0.002383599079205092
2023-06-15,-0.000864514321373156,0.0,8.310183333333333e-05,-0.0009476161547064893
2023-06-16,0.009288064102546808,4.98658e-05,8.310183333333333e-05,0.009155096469213475
2023-06-19,-0.0003444417799831892,4.9924649999999996e-05,8.318908333333335e-05,-0.00047755551331652254
2023-06-20,0.0010827759993207846,0.0,8.318908333333335e-05,0.0009995869159874513
2023-06-21,-6.668266501156305e-05,0.0,8.318908333333335e-05,-0.0001498717483448964
2023-06-22,-0.001604429214327809,0.0,8.318908333333335e-05,-0.0016876182976611424
2023-06-23,-0.000826879265235276,4.9882350000000005e-05,8.318908333333335e-05,-0.0009599506985686094
2023-06-26,-0.0016173602851234728,4.986905e-05,8.316175000000001e-05,-0.0017503910851234727
2023-06-27,-0.0027555241240730987,0.0,8.316175000000001e-05,-0.0028386858740730987
2023-06-28,-0.00027903461409254445,0.0,8.316175000000001e-05,-0.0003621963640925445
2023-06-29,0.004677917566781942,0.0,8.316175000000001e-05,0.004594755816781942
2023-06-30,0.0007792295959555888,4.9924649999999996e-05,8.316175000000001e-05,0.0006461431959555887
2023-07-03,0.0008526476451078875,4.9861849999999994e-05,8.303041666666669e-05,0.0007197553784412208
2023-07-04,0.0025500137415044744,0.0,8.303041666666669e-05,0.0024669833248378075
2023-07-05,0.0014814289355451365,0.0,8.303041666666669e-05,0.0013983985188784698
2023-07-06,0.00191023823240381,0.0,8.303041666666669e-05,0.0018272078157371434
2023-07-07,-0.00017132234463522152,4.986905e-05,8.303041666666669e-05,-0.0003042218113018882
2023-07-10,0.0008692422707514066,4.991555e-05,8.31715e-05,0.0007361552207514067
2023-07-11,0.001072670537814012,0.0,8.31715e-05,0.000989499037814012
2023-07-12,0.00012155483937576156,0.0,8.31715e-05,3.838333937576156e-05
2023-07-13,-0.0010581719555204576,0.0,8.31715e-05,-0.0011413434555204577
2023-07-14,-0.0006104774903122722,4.9861849999999994e-05,8.31715e-05,-0.0007435108403122722
2023-07-18,-0.0025286644261972527,4.9958200000000006e-05,8.325416666666667e-05,-0.0026618767928639196
2023-07-19,-0.0005511344054343152,0.0,8.325416666666667e-05,-0.0006343885721009819
2023-07-20,-0.0020361877333970537,0.0,8.325416666666667e-05,-0.0021194419000637203
2023-07-21,-0.00208966952867238,0.0,8.325416666666667e-05,-0.0021729236953390465
2023-07-24,-0.0006011711518807826,4.991555e-05,8.325416666666667e-05,-0.0007343408685474492
2023-07-25,0.0002914825535688969,4.9903850000000005e-05,8.323033333333334e-05,0.00015834837023556356
2023-07-26,-0.00019097578499679057,0.0,8.323033333333334e-05,-0.0002742061183301239
2023-07-27,-0.0005402413168605328,0.0,8.323033333333334e-05,-0.0006234716501938662
2023-07-28,0.003337615854219979,0.0,8.323033333333334e-05,0.0032543855208866457
2023-07-31,-0.00021199721155194345,4.9958200000000006e-05,8.323033333333334e-05,-0.0003451857448852768
2023-08-01,-0.004050916649186121,4.9924300000000006e-05,8.321850000000001e-05,-0.004184059449186122
2023-08-02,-0.0010707892641503207,0.0,8.321850000000001e-05,-0.0011540077641503208
