pair,entry,exit,sign,ret
USDJPY,2016-01-07,2016-01-27,1,0.007451942919989609
GBPUSD,2016-01-15,2016-02-04,1,0.0228474018356614
USDCAD,2016-01-30,2016-02-19,1,-0.017184064865775926
EURUSD,2016-02-03,2016-02-23,-1,0.006463132419921943
USDJPY,2016-02-03,2016-02-23,1,-0.044889640773857806
USDCHF,2016-02-04,2016-02-24,1,-0.0013397168683890659
GBPUSD,2016-02-23,2016-03-14,1,0.026319612404938526
USDJPY,2016-04-07,2016-04-27,1,0.025177566619641607
USDCAD,2016-04-12,2016-05-02,1,-0.01781851799331228
USDJPY,2016-04-28,2016-05-18,1,0.008665399711704595
USDCHF,2016-04-29,2016-05-19,1,0.03004798475592669
EURUSD,2016-04-29,2016-05-19,-1,0.020836578474458148
AUDUSD,2016-05-06,2016-05-26,1,-0.024570815360590876
EURUSD,2016-06-03,2016-06-23,-1,0.0040084699136654885
USDJPY,2016-06-03,2016-06-23,1,-0.017373751820618417
USDCHF,2016-06-03,2016-06-23,1,-0.01624858051159946
USDCAD,2016-06-07,2016-06-27,1,0.020652504041105378
GBPUSD,2016-06-24,2016-07-14,1,-0.041613352592289994
USDJPY,2016-07-29,2016-08-18,1,-0.021134779081487854
USDCHF,2016-07-29,2016-08-18,1,-0.007324073552952298
USDCHF,2016-08-18,2016-09-07,1,0.01696309455781962
USDCAD,2016-09-06,2016-09-26,1,0.023373662002905464
AUDUSD,2016-09-13,2016-10-03,1,0.023788165562244952
USDCHF,2016-11-01,2016-11-21,1,0.03692482274085646
EURUSD,2016-11-01,2016-11-21,-1,0.04419748477965534
NZDUSD,2016-11-11,2016-12-01,1,-0.0044149410092377845
AUDUSD,2016-11-12,2016-12-02,1,-0.01574594939149237
NZDUSD,2016-12-17,2017-01-06,1,0.00899107455735941
AUDUSD,2016-12-17,2017-01-06,1,0.004953494506609199
USDCHF,2017-03-16,2017-04-05,1,0.00646845795537605
USDJPY,2017-04-12,2017-05-02,1,0.026997004934536127
GBPUSD,2017-04-18,2017-05-08,-1,-0.009260891617143129
EURUSD,2017-04-25,2017-05-15,-1,0.0006971586336072888
NZDUSD,2017-04-26,2017-05-16,1,-0.0014224234787170065
USDCHF,2017-05-16,2017-06-05,1,-0.020809752299505407
EURUSD,2017-05-16,2017-06-05,-1,-0.015721675959025086
USDJPY,2017-05-17,2017-06-06,1,-0.005592360211492037
USDCAD,2017-05-19,2017-06-08,1,0.0003538981193755243
USDCAD,2017-06-12,2017-07-02,1,-0.026322322734859304
EURUSD,2017-06-27,2017-07-17,-1,-0.011226171572905437
GBPUSD,2017-06-29,2017-07-19,-1,-0.001704757104314804
USDCAD,2017-07-02,2017-07-22,1,-0.03397910840063592
USDCHF,2017-07-21,2017-08-10,1,0.019703061983865115
USDCAD,2017-09-07,2017-09-27,1,0.020898037908451454
GBPUSD,2017-09-08,2017-09-28,-1,-0.014902285872029176
NZDUSD,2017-10-19,2017-11-08,1,-0.01685478713780165
AUDUSD,2017-10-26,2017-11-15,1,-0.003930406584873425
USDCHF,2017-12-29,2018-01-18,1,-0.008363670412221809
USDJPY,2018-01-12,2018-02-01,1,-0.01587427753510456
EURUSD,2018-01-13,2018-02-02,-1,-0.023890778185545417
GBPUSD,2018-01-15,2018-02-04,-1,-0.02293218810386824
USDCHF,2018-01-24,2018-02-13,1,-0.006893497053468823
USDJPY,2018-02-14,2018-03-06,1,-0.0019481045202972072
EURUSD,2018-02-14,2018-03-06,-1,0.011621523382768374
USDJPY,2018-07-22,2018-08-11,1,-0.0006809347515496179
EURUSD,2018-08-21,2018-09-10,-1,0.0026381836371988142
USDCHF,2018-08-21,2018-09-10,1,-0.014445236717075295
USDCAD,2018-10-01,2018-10-21,1,0.022589665400806418
GBPUSD,2018-11-04,2018-11-24,-1,0.015908525577476067
EURUSD,2018-11-17,2018-12-07,-1,0.0053782272785613434
AUDUSD,2018-11-17,2018-12-07,-1,0.013832159565839247
USDJPY,2018-12-20,2019-01-09,1,-0.020818623030811313
USDCAD,2019-01-04,2019-01-24,1,-0.0020026381870476223
AUDUSD,2019-01-07,2019-01-27,-1,-0.004608911402230702
GBPUSD,2019-01-25,2019-02-14,-1,0.027463050940733147
USDCHF,2019-03-20,2019-04-09,1,0.009637905122209679
USDJPY,2019-03-22,2019-04-11,1,0.010794405999457904
USDJPY,2019-05-07,2019-05-27,1,-0.0066492132624699
USDCHF,2019-05-13,2019-06-02,1,-0.0028636735259904046
USDCHF,2019-06-03,2019-06-23,1,-0.014817653123525641
USDJPY,2019-06-03,2019-06-23,1,-0.005462521049560286
EURUSD,2019-06-03,2019-06-23,-1,-0.0094243003977516
NZDUSD,2019-06-04,2019-06-24,-1,0.001999917405446496
USDCHF,2019-06-23,2019-07-13,1,0.01055623763935471
EURUSD,2019-06-23,2019-07-13,-1,0.011638948716983484
GBPUSD,2019-06-23,2019-07-13,-1,0.014773553724075602
NZDUSD,2019-06-27,2019-07-17,-1,0.00032033775635276077
USDJPY,2019-08-02,2019-08-22,1,0.0012834229162030043
USDCHF,2019-08-05,2019-08-25,1,0.005668556330934403
EURUSD,2019-08-05,2019-08-25,-1,0.010421802205481102
NZDUSD,2019-09-06,2019-09-26,-1,0.024540640853096908
AUDUSD,2019-09-06,2019-09-26,-1,0.014250959155394241
USDCAD,2019-09-07,2019-09-27,1,0.007785023585338049
GBPUSD,2019-10-11,2019-10-31,-1,-0.01926785018434405
EURUSD,2019-10-18,2019-11-07,-1,0.010264738227983447
NZDUSD,2019-10-21,2019-11-10,-1,0.01335228407333268
AUDUSD,2019-10-21,2019-11-10,-1,0.002075845918386017
USDCHF,2019-12-03,2019-12-23,1,-0.003899296606403326
NZDUSD,2019-12-04,2019-12-24,-1,-0.012675489480206087
GBPUSD,2019-12-12,2020-01-01,-1,0.01636431892728571
EURUSD,2019-12-12,2020-01-01,-1,-0.001488103358344003
USDCHF,2019-12-30,2020-01-19,1,0.00043405026613030015
USDCAD,2019-12-31,2020-01-20,1,0.005705308105304391
USDJPY,2020-01-03,2020-01-23,1,0.01589164894649442
USDJPY,2020-02-25,2020-03-16,1,-0.03424641966057095
USDCAD,2020-02-26,2020-03-17,-1,-0.049162428136736845
EURUSD,2020-02-27,2020-03-18,-1,-0.0009879296185695274
USDCHF,2020-02-28,2020-03-19,1,0.003873964256074539
AUDUSD,2020-03-24,2020-04-13,-1,-0.05888095324322126
EURUSD,2020-03-26,2020-04-15,-1,0.006606699561605207
NZDUSD,2020-03-26,2020-04-15,-1,-0.020340195199517144
GBPUSD,2020-03-26,2020-04-15,-1,-0.034469186913636075
EURUSD,2020-05-29,2020-06-18,-1,-0.011934402376477502
AUDUSD,2020-06-02,2020-06-22,-1,0.013748654768412435
GBPUSD,2020-06-05,2020-06-25,-1,0.020234660208596975
USDCAD,2020-06-05,2020-06-25,1,0.016477146631927876
USDCHF,2020-07-24,2020-08-13,1,-0.009069072146864207
EURUSD,2020-07-24,2020-08-13,-1,-0.011494458805320965
USDJPY,2020-07-27,2020-08-16,1,0.012587827294892169
