symbol,effective_from,effective_to
5013,2026-05-29,
5016,2026-05-29,
5019,2026-05-29,
5020,2026-05-29,
5021,2026-05-29,
5032,2026-05-29,
5036,2026-05-29,
5074,2026-05-29,
5076,2026-05-29,
5101,2026-05-29,
5105,2026-05-29,
5108,2026-05-29,
5110,2026-05-29,
5121,2026-05-29,
5122,2026-05-29,
5142,2026-05-29,
5185,2026-05-29,
5186,2026-05-29,
5192,2026-05-29,
5195,2026-05-29,
5201,2026-05-29,
5202,2026-05-29,
5208,2026-05-29,
5214,2026-05-29,
5218,2026-05-29,
5232,2026-05-29,
5233,2026-05-29,
5262,2026-05-29,
5269,2026-05-29,
5273,2026-05-29,
5288,2026-05-29,
5301,2026-05-29,
5302,2026-05-29,
5310,2026-05-29,
5331,2026-05-29,
5332,2026-05-29,
5333,2026-05-29,
5334,2026-05-29,
5344,2026-05-29,
5351,2026-05-29,
5357,2026-05-29,
5384,2026-05-29,
5393,2026-05-29,
5401,2026-05-29,
5406,2026-05-29,
5408,2026-05-29,
5410,2026-05-29,
5411,2026-05-29,
5423,2026-05-29,
543A,2026-05-29,
5440,2026-05-29,
5444,2026-05-29,
5445,2026-05-29,
5449,2026-05-29,
544A,2026-05-29,
5451,2026-05-29,
545A,2026-05-29,
5461,2026-05-29,
5463,2026-05-29,
5464,2026-05-29,
546A,2026-05-29,
5471,2026-05-29,
547A,2026-05-29,
5480,2026-05-29,
5482,2026-05-29,
5541,2026-05-29,
5563,2026-05-29,
5602,2026-05-29,
5631,2026-05-29,
5632,2026-05-29,
5659,2026-05-29,
5698,2026-05-29,
5702,2026-05-29,
5703,2026-05-29,
5706,2026-05-29,
5707,2026-05-29,
5711,2026-05-29,
5713,2026-05-29,
5714,2026-05-29,
5715,2026-05-29,
5726,2026-05-29,
5741,2026-05-29,
5757,2026-05-29,
5801,2026-05-29,
5802,2026-05-29,
5803,2026-05-29,
5805,2026-05-29,
5821,2026-05-29,
5830,2026-05-29,
5831,2026-05-29,
5832,2026-05-29,
5838,2026-05-29,
5844,2026-05-29,
5851,2026-05-29,
5857,2026-05-29,
5889,2026-05-29,
5901,2026-05-29,
5902,2026-05-29,
5909,2026-05-29,
5911,2026-05-29,
5929,2026-05-29,
5930,2026-05-29,
5932,2026-05-29,
5933,2026-05-29,
5938,2026-05-29,
5943,2026-05-29,
5946,2026-05-29,
5947,2026-05-29,
5949,2026-05-29,
5957,2026-05-29,
5959,2026-05-29,
5970,2026-05-29,
5975,2026-05-29,
5976,2026-05-29,
5981,2026-05-29,
5985,2026-05-29,
5988,2026-05-29,
5989,2026-05-29,
5991,2026-05-29,
5992,2026-05-29,
6005,2026-05-29,
6013,2026-05-29,
6027,2026-05-29,
6035,2026-05-29,
6036,2026-05-29,
6047,2026-05-29,
6050,2026-05-29,
6055,2026-05-29,
6058,2026-05-29,
6062,2026-05-29,
6070,2026-05-29,
6071,2026-05-29,
6073,2026-05-29,
6078,2026-05-29,
6080,2026-05-29,
6082,2026-05-29,
6088,2026-05-29,
6089,2026-05-29,
6098,2026-05-29,
6099,2026-05-29,
6101,2026-05-29,
6103,2026-05-29,
6104,2026-05-29,
6113,2026-05-29,
6118,2026-05-29,
6134,2026-05-29,
6135,2026-05-29,
6136,2026-05-29,
6140,2026-05-29,
6141,2026-05-29,
6143,2026-05-29,
6146,2026-05-29,
6151,2026-05-29,
6157,2026-05-29,
6167,2026-05-29,
6178,2026-05-29,
6183,2026-05-29,
6184,2026-05-29,
6191,2026-05-29,
6194,2026-05-29,
6196,2026-05-29,
6197,2026-05-29,
6199,2026-05-29,
6200,2026-05-29,
6209,2026-05-29,
6222,2026-05-29,
6235,2026-05-29,
6237,2026-05-29,
6238,2026-05-29,
6240,2026-05-29,
6247,2026-05-29,
6250,2026-05-29,
6254,2026-05-29,
6258,2026-05-29,
6262,2026-05-29,
6264,2026-05-29,
6266,2026-05-29,
6268,2026-05-29,
6269,2026-05-29,
6272,2026-05-29,
6273,2026-05-29,
6277,2026-05-29,
6278,2026-05-29,
6279,2026-05-29,
6282,2026-05-29,
6284,2026-05-29,
6287,2026-05-29,
6289,2026-05-29,
6291,2026-05-29,
6298,2026-05-29,
6301,2026-05-29,
6302,2026-05-29,
6305,2026-05-29,
6306,2026-05-29,
6309,2026-05-29,
6310,2026-05-29,
6315,2026-05-29,
6317,2026-05-29,
6323,2026-05-29,
6324,2026-05-29,
6326,2026-05-29,
6328,2026-05-29,
6330,2026-05-29,
6331,2026-05-29,
6332,2026-05-29,
6333,2026-05-29,
6339,2026-05-29,
6340,2026-05-29,
6345,2026-05-29,
6349,2026-05-29,
6351,2026-05-29,
6358,2026-05-29,
6361,2026-05-29,
6363,2026-05-29,
6364,2026-05-29,
6367,2026-05-29,
6368,2026-05-29,
6369,2026-05-29,
6370,2026-05-29,
6371,2026-05-29,
6376,2026-05-29,
6378,2026-05-29,
6379,2026-05-29,
6381,2026-05-29,
6383,2026-05-29,
6387,2026-05-29,
6395,2026-05-29,
6407,2026-05-29,
6412,2026-05-29,
6413,2026-05-29,
6417,2026-05-29,
6418,2026-05-29,
6419,2026-05-29,
6420,2026-05-29,
6430,2026-05-29,
6432,2026-05-29,
6436,2026-05-29,
6440,2026-05-29,
6445,2026-05-29,
6448,2026-05-29,
6454,2026-05-29,
6455,2026-05-29,
6457,2026-05-29,
6458,2026-05-29,
6459,2026-05-29,
6460,2026-05-29,
6463,2026-05-29,
6464,2026-05-29,
6465,2026-05-29,
6470,2026-05-29,
6471,2026-05-29,
6472,2026-05-29,
6473,2026-05-29,
6474,2026-05-29,
6479,2026-05-29,
6480,2026-05-29,
6481,2026-05-29,
6482,2026-05-29,
6485,2026-05-29,
6486,2026-05-29,
6490,2026-05-29,
6498,2026-05-29,
6501,2026-05-29,
6503,2026-05-29,
6504,2026-05-29,
6506,2026-05-29,
6507,2026-05-29,
6508,2026-05-29,
6516,2026-05-29,
6517,2026-05-29,
6523,2026-05-29,
6525,2026-05-29,
6526,2026-05-29,
6532,2026-05-29,
6533,2026-05-29,
6535,2026-05-29,
6539,2026-05-29,
6544,2026-05-29,
6560,2026-05-29,
6564,2026-05-29,
6571,2026-05-29,
6572,2026-05-29,
6584,2026-05-29,
6586,2026-05-29,
6588,2026-05-29,
6590,2026-05-29,
6592,2026-05-29,
6615,2026-05-29,
6616,2026-05-29,
6617,2026-05-29,
6619,2026-05-29,
6620,2026-05-29,
6622,2026-05-29,
6630,2026-05-29,
6632,2026-05-29,
6638,2026-05-29,
6644,2026-05-29,
6645,2026-05-29,
6651,2026-05-29,
6652,2026-05-29,
6674,2026-05-29,
6676,2026-05-29,
6678,2026-05-29,
6699,2026-05-29,
6701,2026-05-29,
6702,2026-05-29,
6703,2026-05-29,
6706,2026-05-29,
6707,2026-05-29,
6718,2026-05-29,
6723,2026-05-29,
6724,2026-05-29,
6727,2026-05-29,
6728,2026-05-29,
6730,2026-05-29,
6737,2026-05-29,
6740,2026-05-29,
