combo,k,wtype,cost,weights,is_sharpe,oos_sharpe,oos_ann_ret,oos_maxdd,full_sharpe
ml_rank_target+gap_short_hedged,2,iv,3.0,"{""ml_rank_target"": 0.466, ""gap_short_hedged"": 0.534}",3.8496467406668353,6.004285860045246,0.642100105974473,-0.031842697423871025,4.730771603162488
ml_rank_target+gap_short_hedged,2,iv,7.0,"{""ml_rank_target"": 0.466, ""gap_short_hedged"": 0.534}",2.379361630732594,4.622003819626252,0.4942784556853313,-0.04059224998749833,3.3012540682900795
ml_rank_target+sector_vol_double_neutral,2,ew,3.0,"{""ml_rank_target"": 0.5, ""sector_vol_double_neutral"": 0.5}",4.016195749151902,7.743501100266507,0.6881719644559567,-0.02529226144947261,5.5614001880736375
ml_rank_target+sector_vol_double_neutral,2,ew,7.0,"{""ml_rank_target"": 0.5, ""sector_vol_double_neutral"": 0.5}",1.4402619143101132,5.47504219399899,0.4865719644559567,-0.03446361724968705,3.1453205051185256
ml_rank_target+sector_vol_double_neutral,2,iv,3.0,"{""ml_rank_target"": 0.382, ""sector_vol_double_neutral"": 0.618}",3.9501160834994495,7.953628411034645,0.6561264418454854,-0.021651458242359367,5.60466601862877
ml_rank_target+sector_vol_double_neutral,2,iv,7.0,"{""ml_rank_target"": 0.382, ""sector_vol_double_neutral"": 0.618}",1.1843999826654112,5.509813643937986,0.4545264418454854,-0.030243693782160186,3.0095580429260993
ml_rank_target+ml_combined,2,ew,3.0,"{""ml_rank_target"": 0.5, ""ml_combined"": 0.5}",3.547359742983467,5.859167528546054,0.7532286027496486,-0.04880680417463146,4.514249982440005
ml_rank_target+ml_combined,2,ew,7.0,"{""ml_rank_target"": 0.5, ""ml_combined"": 0.5}",1.7895137975430648,4.290974061857581,0.5516286027496484,-0.06169840996494391,2.846121169701899
ml_rank_target+ml_combined,2,iv,3.0,"{""ml_rank_target"": 0.499, ""ml_combined"": 0.501}",3.5470798859962493,5.85838909090679,0.7531073015484211,-0.04881143657642639,4.513756597469479
ml_rank_target+ml_combined,2,iv,7.0,"{""ml_rank_target"": 0.499, ""ml_combined"": 0.501}",1.7892286997139848,4.290151419729633,0.5515073015484211,-0.061702983233061226,2.8456005001839393
idio_gap_reversal+svdn_concentrated,2,ew,3.0,"{""idio_gap_reversal"": 0.5, ""svdn_concentrated"": 0.5}",3.2549477260530133,7.730717050440891,0.6507895884364844,-0.02156611741124892,5.1226383110132305
idio_gap_reversal+svdn_concentrated,2,ew,7.0,"{""idio_gap_reversal"": 0.5, ""svdn_concentrated"": 0.5}",0.4954816899767077,5.3359145135515185,0.44918958843648443,-0.026317066203066397,2.5613389546142997
idio_gap_reversal+svdn_concentrated,2,iv,3.0,"{""idio_gap_reversal"": 0.573, ""svdn_concentrated"": 0.427}",3.2181430479743094,7.902379751164698,0.6454060959524541,-0.020672153929355508,5.164922292002392
idio_gap_reversal+svdn_concentrated,2,iv,7.0,"{""idio_gap_reversal"": 0.573, ""svdn_concentrated"": 0.427}",0.39170985357208016,5.433980757374957,0.4438060959524541,-0.026440801511464107,2.5361416203640723
