date,n,turnover,gross,net
2022-09-30,6,1.0,-0.004103261735163701,-0.004303261735163701
2022-10-03,9,0.7777777777777778,-0.007141508821810761,-0.007297064377366317
2022-10-04,10,0.1,0.0076231348468498265,0.0076031348468498265
2022-10-05,12,0.3333333333333333,0.0012591792127233485,0.0011925125460566818
2022-10-06,13,0.23076923076923078,0.00769840459119388,0.007652250745040034
2022-10-07,11,0.18181818181818182,0.0019176972706399014,0.001881333634276265
2022-10-11,7,1.1428571428571428,0.003729715115204684,0.0035011436866332554
2022-10-12,5,0.4,0.004177791418109426,0.0040977914181094255
2022-10-18,8,1.0,0.00165748418586837,0.00145748418586837
2022-10-19,24,0.6666666666666666,0.00010573573288889926,-2.7597600444434055e-05
2022-10-20,54,0.5925925925925926,-0.0024721713157324875,-0.002590689834251006
2022-10-21,91,0.45054945054945056,0.0011587851964644565,0.0010686753063545663
2022-10-24,102,0.14705882352941177,0.0023763447064259913,0.002346932941720109
2022-10-25,112,0.23214285714285715,0.0023502241916456834,0.002303795620217112
2022-10-26,94,0.2765957446808511,-0.0008266213778709425,-0.0008819405268071127
2022-10-27,127,0.7007874015748031,-0.000627266724897475,-0.0007674242052124356
2022-10-28,99,0.5656565656565656,-0.005513790856341003,-0.005626922169472316
2022-10-31,108,0.3611111111111111,0.0013617075092522968,0.0012894852870300746
2022-11-01,119,0.44537815126050423,7.12355231163482e-05,-1.784010713575264e-05
2022-11-02,111,0.46846846846846846,0.0007101804630404197,0.000616486769346726
2022-11-04,90,0.8333333333333334,0.000978975122813015,0.0008123084561463483
2022-11-07,94,0.40425531914893614,-0.00039055413931537476,-0.000471405203145162
2022-11-08,61,0.6065573770491803,-0.00017415137080508195,-0.00029546284621491804
2022-11-09,47,0.3404255319148936,-0.0009141686618252005,-0.0009822537682081791
2022-11-10,27,0.8148148148148148,0.001461523654039688,0.0012985606910767252
2022-11-11,6,4.5,-0.006520501416000291,-0.007420501416000291
2023-01-04,7,1.0,0.0022632550962899765,0.0020632550962899764
2023-01-05,13,0.46153846153846156,0.007012917799132099,0.006920610106824406
2023-01-06,12,0.25,-0.005155148145322476,-0.005205148145322476
2023-01-10,10,0.2,0.010800998888013051,0.010760998888013051
