date,gross,net,topix_ret,hedge_notional,contracts,long_exposure
2025-08-13,0.00199041702453462,0.0017887141245346199,0.0027274201394518194,0.30835,2.0,0.7001645000000001
2025-08-14,-0.0016049530292532037,-0.0018375207292532039,-0.0066398344589216896,0.4617585,3.0,0.70108
2025-08-15,0.0012251401485848992,0.0009591144485848991,0.010910368428243444,0.614828,4.0,0.7153005000000001
2025-08-18,0.0030650874108590687,0.0028454337108590687,0.003395061728395099,0.46656,3.0,0.6317085
2025-08-19,0.002599562751289378,0.0023858489512893783,-0.003698612620676389,0.46923,3.0,0.5993390000000001
2025-08-20,-0.0022567355495260455,-0.002480171749526045,-0.004615710761640579,0.466992,3.0,0.6501889999999999
2025-08-21,0.00039462198512859974,0.0001738256851285997,-0.003886939495570285,0.464247,3.0,0.6397345000000001
2025-08-22,0.00162252190198422,0.0013970017019842198,0.003309994046540421,0.463596,3.0,0.664005
2025-08-25,-0.004299454494819271,-0.004523528294819271,-0.00481969409042704,0.4680795,3.0,0.6522895
2025-08-26,-0.0008081725521897547,-0.0010261907521897547,-0.007299859754797189,0.464187,3.0,0.625904
2025-08-27,-0.0019693169372314977,-0.002197624837231498,-0.0012103622627267496,0.461019,3.0,0.6805205000000001
2025-08-28,0.0008926217835267163,0.0006511187835267163,0.009468112911657167,0.45912,3.0,0.7483949999999999
2025-08-29,-8.686265140558751e-05,-0.0003107538514055875,-0.002513842351269724,0.4624395,3.0,0.6570164999999999
2025-09-01,0.0034430094798208414,0.003225778879820841,0.0007187217207504926,0.4591485,3.0,0.6270045000000001
2025-09-02,-0.0033773073006929744,-0.003560919400692974,0.0037127745499074827,0.307048,2.0,0.6110125000000001
2025-09-03,0.0003785235573218618,0.00015677525732186185,-0.007952286282306154,0.4609995,3.0,0.6477419999999999
2025-09-04,-0.0012127585290053467,-0.0014014458290053467,0.007381606488749304,0.30576,2.0,0.6376764999999999
2025-09-05,0.0005723706281056871,0.0003377757281056871,0.0015675143930720115,0.4650675,3.0,0.7079070000000001
2025-09-08,0.001327662198249162,0.001140165098249162,0.004461856567635092,0.312426,2.0,0.6250595
2025-09-09,-0.00265548358125581,-0.0028869535812558102,-0.008875965054855772,0.472512,3.0,0.6848380000000001
2025-09-10,-0.003939089571589112,-0.004120632271589112,0.006485662008568482,0.312073,2.0,0.5956404999999999
2025-09-11,-0.002090467179803409,-0.002285907279803409,0.0038332259689899395,0.313574,2.0,0.6636265
2025-09-12,-0.00022382721276927443,-0.00042705801276927437,-0.0013271442068576444,0.316469,2.0,0.6996849999999999
2025-09-16,-0.0032616893283919078,-0.0035017557283919076,0.0001609924712344668,0.4751775,3.0,0.7251544999999999
2025-09-17,-0.0008810223726084551,-0.0011106462726084552,-0.002881214103685692,0.473238,3.0,0.6748814999999999
2025-09-18,-0.002259026965793926,-0.002499388665793926,0.0013599274705349274,0.473187,3.0,0.7286215
