date,entry_date,side,z,entry_premium,exit_premium,gross,net
2025-04-21,2025-04-14,LONG,-1.7624569881235905,2400.0,1825.0,-0.23958333333333334,-0.23958333333333334
2025-05-08,2025-04-28,LONG,-2.272401849743176,2360.0,2430.0,0.029661016949152543,0.029661016949152543
2025-05-19,2025-05-12,LONG,-1.070175384203863,1795.0,1580.0,-0.11977715877437325,-0.11977715877437325
2025-06-02,2025-05-26,SHORT,0.6716303943330969,2050.0,2010.0,0.01951219512195122,0.01951219512195122
2025-06-16,2025-06-09,SHORT,0.591793343161401,1670.0,1660.0,0.005988023952095809,0.005988023952095809
2025-07-07,2025-06-30,SHORT,0.6824415838966377,2110.0,2095.0,0.0071090047393364926,0.0071090047393364926
2025-07-22,2025-07-14,SHORT,0.673147961834049,1605.0,1335.0,0.16822429906542055,0.16822429906542055
2025-09-24,2025-09-16,SHORT,0.5496691558827955,1795.0,1650.0,0.0807799442896936,0.0807799442896936
2025-10-06,2025-09-29,SHORT,0.7292020080017741,2600.0,4130.0,-0.5884615384615385,-0.5884615384615385
2025-11-04,2025-10-27,LONG,-0.51384745942468,3330.0,3690.0,0.10810810810810811,0.10810810810810811
2026-01-20,2026-01-13,SHORT,0.5640315002912146,3140.0,3180.0,-0.012738853503184714,-0.012738853503184714
2026-02-02,2026-01-26,SHORT,0.8209722783864686,4210.0,4180.0,0.007125890736342043,0.007125890736342043
2026-03-16,2026-03-09,SHORT,1.3855528837787348,5225.0,4010.0,0.23253588516746412,0.23253588516746412
2026-05-08,2026-04-27,LONG,-0.6757007210874624,4850.0,5040.0,0.03917525773195876,0.03917525773195876
2026-06-08,2026-06-01,LONG,-0.6042336555525066,5215.0,5075.0,-0.026845637583892617,-0.026845637583892617
2026-07-06,2026-06-29,LONG,-1.148226333151131,7055.0,6250.0,-0.11410347271438696,-0.11410347271438696
2026-07-21,2026-07-13,LONG,-1.2610483857170847,5015.0,4475.0,-0.10767696909272183,-0.10767696909272183
